timestamp,object,message
2026-06-13T13:06:55.422Z,redis-server,Starting Redis Server
2026-06-13T13:06:55.484Z,redis-server,1:C 13 Jun 2026 13:06:55.484 * oO0OoO0OoO0Oo Redis is starting oO0OoO0OoO0Oo
2026-06-13T13:06:55.484Z,redis-server,"1:C 13 Jun 2026 13:06:55.484 * Redis version=8.8.0, bits=64, commit=00000000, modified=1, pid=1, just started"
2026-06-13T13:06:55.484Z,redis-server,1:C 13 Jun 2026 13:06:55.484 * Configuration loaded
2026-06-13T13:06:55.486Z,redis-server,1:M 13 Jun 2026 13:06:55.486 * monotonic clock: POSIX clock_gettime
2026-06-13T13:06:55.492Z,redis-server,"1:M 13 Jun 2026 13:06:55.492 * Running mode=standalone, port=6379."
2026-06-13T13:06:55.494Z,redis-server,1:M 13 Jun 2026 13:06:55.493 * <bf> RedisBloom version 8.8.0 (Git=unknown)
2026-06-13T13:06:55.494Z,redis-server,1:M 13 Jun 2026 13:06:55.494 * <bf> Registering configuration options: [
2026-06-13T13:06:55.494Z,redis-server,1:M 13 Jun 2026 13:06:55.494 * <bf> 	{ bf-error-rate       :      0.01 }
2026-06-13T13:06:55.494Z,redis-server,1:M 13 Jun 2026 13:06:55.494 * <bf> 	{ bf-initial-size     :       100 }
2026-06-13T13:06:55.494Z,redis-server,1:M 13 Jun 2026 13:06:55.494 * <bf> 	{ bf-expansion-factor :         2 }
2026-06-13T13:06:55.494Z,redis-server,1:M 13 Jun 2026 13:06:55.494 * <bf> 	{ cf-bucket-size      :         2 }
2026-06-13T13:06:55.494Z,redis-server,1:M 13 Jun 2026 13:06:55.494 * <bf> 	{ cf-initial-size     :      1024 }
2026-06-13T13:06:55.494Z,redis-server,1:M 13 Jun 2026 13:06:55.494 * <bf> 	{ cf-max-iterations   :        20 }
2026-06-13T13:06:55.494Z,redis-server,1:M 13 Jun 2026 13:06:55.494 * <bf> 	{ cf-expansion-factor :         1 }
2026-06-13T13:06:55.494Z,redis-server,1:M 13 Jun 2026 13:06:55.494 * <bf> 	{ cf-max-expansions   :        32 }
2026-06-13T13:06:55.494Z,redis-server,1:M 13 Jun 2026 13:06:55.494 * <bf> ]
2026-06-13T13:06:55.498Z,redis-server,1:M 13 Jun 2026 13:06:55.498 * Module 'bf' loaded from /usr/local/lib/redis/modules//redisbloom.so
2026-06-13T13:06:55.538Z,redis-server,1:M 13 Jun 2026 13:06:55.538 * <search> search-workers default: 8 (min of MAX_WORKER_THREADS=16 and CPU cores)
2026-06-13T13:06:55.539Z,redis-server,1:M 13 Jun 2026 13:06:55.538 * <search> Redis version found by RedisSearch : 8.8.0 - oss
2026-06-13T13:06:55.539Z,redis-server,1:M 13 Jun 2026 13:06:55.538 * <search> RediSearch version 8.8.0 (Git=d2ae026)
2026-06-13T13:06:55.539Z,redis-server,1:M 13 Jun 2026 13:06:55.539 * <search> Low level api version 1 initialized successfully
2026-06-13T13:06:55.539Z,redis-server,"1:M 13 Jun 2026 13:06:55.539 * <search> gc: ON, prefix min length: 2, min word length to stem: 4, prefix max expansions: 200, query timeout (ms): 500, timeout policy: return, oom policy: return, cursor read size: 1000, cursor max idle (ms): 300000, max doctable size: 1000000, max number of search results:  1000000, default scorer: BM25STD, "
2026-06-13T13:06:55.539Z,redis-server,1:M 13 Jun 2026 13:06:55.539 * <search> Initialized thread pools!
2026-06-13T13:06:55.539Z,redis-server,1:M 13 Jun 2026 13:06:55.539 * <search> Enabled workers threadpool of size 8
2026-06-13T13:06:55.582Z,redis-server,1:M 13 Jun 2026 13:06:55.561 * <search> Subscribe to config changes
2026-06-13T13:06:55.582Z,redis-server,1:M 13 Jun 2026 13:06:55.561 * <search> Subscribe to cluster slot migration events
2026-06-13T13:06:55.582Z,redis-server,1:M 13 Jun 2026 13:06:55.561 * <search> Enabled role change notification
2026-06-13T13:06:55.582Z,redis-server,"1:M 13 Jun 2026 13:06:55.562 * <search> Cluster configuration: AUTO partitions, type: 0, coordinator timeout: 0ms"
2026-06-13T13:06:55.582Z,redis-server,1:M 13 Jun 2026 13:06:55.582 * Module 'search' loaded from /usr/local/lib/redis/modules//redisearch.so
2026-06-13T13:06:55.629Z,redis-server,"1:M 13 Jun 2026 13:06:55.610 * <timeseries> RedisTimeSeries version 80800, git_sha=42ca4f1078fca732b7f9256adbf25914d67e1cc9"
2026-06-13T13:06:55.630Z,redis-server,1:M 13 Jun 2026 13:06:55.610 * <timeseries> Redis version found by RedisTimeSeries : 8.8.0 - oss
2026-06-13T13:06:55.630Z,redis-server,1:M 13 Jun 2026 13:06:55.610 * <timeseries> Registering configuration options: [
2026-06-13T13:06:55.630Z,redis-server,1:M 13 Jun 2026 13:06:55.610 * <timeseries> 	{ ts-compaction-policy   :              }
2026-06-13T13:06:55.630Z,redis-server,1:M 13 Jun 2026 13:06:55.610 * <timeseries> 	{ ts-num-threads         :            3 }
2026-06-13T13:06:55.630Z,redis-server,1:M 13 Jun 2026 13:06:55.610 * <timeseries> 	{ ts-libmr-protocol      :     INTERNAL }
2026-06-13T13:06:55.630Z,redis-server,1:M 13 Jun 2026 13:06:55.610 * <timeseries> 	{ ts-retention-policy    :            0 }
2026-06-13T13:06:55.630Z,redis-server,1:M 13 Jun 2026 13:06:55.610 * <timeseries> 	{ ts-duplicate-policy    :        block }
2026-06-13T13:06:55.630Z,redis-server,1:M 13 Jun 2026 13:06:55.611 * <timeseries> 	{ ts-chunk-size-bytes    :         4096 }
2026-06-13T13:06:55.630Z,redis-server,1:M 13 Jun 2026 13:06:55.611 * <timeseries> 	{ ts-encoding            :   compressed }
2026-06-13T13:06:55.630Z,redis-server,1:M 13 Jun 2026 13:06:55.611 * <timeseries> 	{ ts-ignore-max-time-diff:            0 }
2026-06-13T13:06:55.630Z,redis-server,1:M 13 Jun 2026 13:06:55.611 * <timeseries> 	{ ts-ignore-max-val-diff :     0.000000 }
2026-06-13T13:06:55.630Z,redis-server,1:M 13 Jun 2026 13:06:55.611 * <timeseries> ]
2026-06-13T13:06:55.630Z,redis-server,1:M 13 Jun 2026 13:06:55.611 * <timeseries> Detected redis oss
2026-06-13T13:06:55.630Z,redis-server,1:M 13 Jun 2026 13:06:55.611 * <timeseries> Subscribe to ASM events
2026-06-13T13:06:55.630Z,redis-server,1:M 13 Jun 2026 13:06:55.611 * <timeseries> Enabled diskless replication
2026-06-13T13:06:55.630Z,redis-server,1:M 13 Jun 2026 13:06:55.611 * Module 'timeseries' loaded from /usr/local/lib/redis/modules//redistimeseries.so
2026-06-13T13:06:55.721Z,redis-server,1:M 13 Jun 2026 13:06:55.716 * <ReJSON> Created new data type 'ReJSON-RL'
2026-06-13T13:06:55.721Z,redis-server,1:M 13 Jun 2026 13:06:55.717 * <ReJSON> version: 80800 git sha: unknown branch: unknown
2026-06-13T13:06:55.721Z,redis-server,1:M 13 Jun 2026 13:06:55.717 * <ReJSON> Exported RedisJSON_V1 API
2026-06-13T13:06:55.721Z,redis-server,1:M 13 Jun 2026 13:06:55.717 * <ReJSON> Exported RedisJSON_V2 API
