transaction_id,account_id,timestamp,ip_address,country,amount,tx_velocity_1h,tx_velocity_24h,user_avg_amount_24h,amount_to_avg_ratio,time_of_day_hour,is_weekend,device_fingerprint_age_days,is_international,account_age_days,failed_attempts_1h,distance_from_home_km,is_fraud
0203c92b-8d82-4f4a-bb0c-b9c275f3f6a8,acc_52f1b1ea,2026-07-19T18:07:57,24.173.11.29,USA,25.4,1,1,20.37,1.2469,18,1,550,0,644,2,2.5,0
41516913-6aab-48db-9e42-9668a0f42411,acc_d28eddbf,2026-07-08T03:46:44,213.12.168.75,USA,128.03,0,4,84.39,1.5171,10,0,181,0,427,0,1.5,0
dbba8812-ed63-4454-b761-86d806bd49c7,acc_5fec8291,2026-08-02T09:06:27,43.115.27.153,USA,69.68,1,4,61.28,1.1371,8,1,364,0,73,0,6.0,0
7f74740a-3fe7-488c-ada3-1410ac6ffdca,acc_ca6b26b5,2026-07-20T11:31:50,20.135.53.19,USA,35.71,0,7,39.65,0.9006,18,1,348,0,873,0,6.2,0
89f5e9ad-fd91-4cb9-b575-b8d752206aea,acc_7fdb6e11,2026-07-17T07:31:58,178.235.108.54,USA,54.98,1,3,55.91,0.9834,14,0,25,0,242,0,6.0,0
d76e899c-38f2-4441-8756-53254fccc999,acc_5064a6d3,2026-08-01T04:36:25,150.8.232.222,USA,85.46,0,2,114.62,0.7456,8,0,92,0,153,0,8.9,0
0acd1ac7-e919-4919-8a08-7252e04872dc,acc_aa9da53e,2026-07-30T20:56:23,112.15.36.169,USA,116.59,0,3,126.37,0.9226,8,0,7,0,46,0,3.6,0
6c060d67-ec74-4080-b9f0-545189c8f67d,acc_69f41df7,2026-07-25T14:24:26,18.41.18.63,USA,94.28,0,0,94.99,0.9925,18,0,78,0,995,0,6.4,0
d293b353-860a-48b1-b56c-000f9db0db36,acc_f680ae2e,2026-07-23T08:45:49,22.135.159.160,USA,36.58,0,2,24.17,1.5134,21,1,184,0,922,0,4.0,0
536016e7-e5fb-41c0-ad46-3549bf4113cb,acc_f327ead6,2026-07-17T23:10:54,186.111.172.216,USA,50.69,1,4,37.95,1.3357,11,0,94,0,453,0,8.9,0
9cc47dd8-deff-4084-8d81-faedaaf0df7e,acc_0654df6a,2026-07-07T05:42:27,60.151.255.91,USA,58.84,0,1,69.95,0.8412,1,0,14,0,1150,1,1.4,0
06073c26-e5ca-4017-b1ad-31756221520c,acc_f4273172,2026-08-04T21:43:29,4.111.192.209,USA,37.57,1,3,47.97,0.7832,10,1,213,0,954,0,19.4,0
98f70ef7-018e-4dae-98d0-9001485752c6,acc_05ece1d8,2026-07-16T23:32:36,84.127.143.228,PS,40.36,0,3,49.34,0.818,16,0,19,1,1069,0,1.3,0
a0082d91-abab-46d2-b8e4-ea98ffe03284,acc_c487932e,2026-07-16T11:07:01,148.116.140.156,USA,18.74,2,7,18.56,1.0097,13,0,249,0,527,0,5.0,0
c0e4e373-0152-400e-ab47-d90251baa9e2,acc_89878b3b,2026-08-02T12:05:10,156.197.178.245,USA,46.92,0,1,59.26,0.7918,13,1,300,0,586,0,6.4,0
7dab7af8-1a44-4ca8-aea3-41089917441a,acc_d035f5e0,2026-07-27T11:27:25,80.11.15.251,USA,135.22,0,4,94.17,1.4359,18,0,216,0,956,0,3.3,0
c8dfd1f1-14d7-4283-ba30-3cce359097e0,acc_94a7184f,2026-07-29T15:30:20,161.9.184.81,USA,121.62,0,3,103.26,1.1778,18,0,31,0,359,0,0.4,0
03de98c5-c4cf-42b8-a016-86f3822de6f0,acc_9ab9c22e,2026-07-30T17:11:23,28.232.227.81,IQ,4471.03,4,7,56.97,78.4804,3,1,0,1,47,3,8643.3,1
b250c129-c9be-457f-b0b3-954df93ed368,acc_01bd78e8,2026-07-18T07:43:12,5.58.32.32,USA,102.32,0,3,115.34,0.8871,11,1,87,0,83,0,8.2,0
caa43a85-6eb3-462d-949e-cb5abaf349b6,acc_5bcdc618,2026-07-25T11:27:10,177.222.75.165,USA,123.71,0,3,121.49,1.0183,10,0,222,0,266,0,1.0,0
163d08b3-e224-41d3-80cf-587dbcda51d6,acc_673015bf,2026-07-30T07:59:00,180.170.119.73,CH,6176.09,6,10,35.19,175.507,0,1,1,1,3,3,5891.9,1
9710160b-de6d-4591-9362-0975ad14ea20,acc_cd9b5633,2026-07-08T13:11:54,9.31.36.253,USA,178.91,1,3,98.98,1.8075,14,0,93,0,408,0,8.7,0
ba35054a-317a-4f19-a29a-25fdb0ebb518,acc_c8cf98ad,2026-07-15T10:34:23,109.67.86.36,USA,46.9,0,3,35.01,1.3396,10,0,250,0,556,0,6.2,0
fd38ecb4-cd6a-426d-88c6-e8aa88ae644b,acc_9c2efdca,2026-07-20T05:44:28,165.135.242.105,USA,68.35,1,4,76.97,0.888,9,0,54,0,191,0,0.4,0
37c807ff-9631-43d6-8815-88187786054d,acc_47aaf395,2026-07-10T20:50:00,139.177.165.61,USA,18.69,1,3,26.06,0.7172,5,0,324,0,1054,0,10.3,0
dd552251-c905-446a-92f0-90b499fbb36e,acc_8090e938,2026-07-18T11:28:23,45.110.99.182,USA,525.29,3,6,17.78,29.5439,3,1,9,0,42,0,293.8,1
507c2d8d-83d7-4908-9035-5c492c6336ba,acc_953be713,2026-07-14T07:25:15,22.46.160.230,USA,93.36,0,2,121.12,0.7708,12,0,45,0,161,0,10.8,0
6d191ca9-e8ed-498a-9cb3-769b206165e0,acc_1ed1b547,2026-07-15T16:04:27,144.219.53.148,USA,41.32,1,6,46.52,0.8882,14,0,112,0,1057,0,7.4,0
6cb2068e-67e9-4c5f-ae3b-82a364838cad,acc_006ebac1,2026-07-20T04:31:10,99.99.78.156,USA,55.23,2,2,51.26,1.0774,5,0,14,0,989,0,10.6,0
39402a2d-8e79-4aff-89bd-78c36f29912f,acc_26c61c07,2026-07-26T20:50:20,150.128.162.151,USA,40.34,1,3,39.56,1.0197,12,0,113,0,1120,0,1.4,0
bc45144a-3c1f-4ff0-b31d-58bbbcb3636d,acc_fab6856f,2026-07-18T13:09:17,214.157.238.59,USA,68.03,1,5,61.72,1.1022,15,0,140,0,1051,0,0.4,0
994c284b-86f7-4d29-91a6-909b1383c873,acc_b40c768d,2026-07-30T23:33:37,11.5.141.72,USA,15.24,0,1,16.24,0.9384,11,0,138,0,961,0,1.7,0
f95d5953-d0c1-4441-b1d7-12aa34e3b522,acc_e1aaa036,2026-07-20T22:09:30,215.70.110.54,USA,131.95,0,4,97.76,1.3497,3,1,63,0,667,0,2.7,0
9d0886fd-c0a0-4dd1-9dc8-b5c2d7b4eea5,acc_c51dacd1,2026-07-06T23:15:04,149.50.212.149,USA,59.17,2,5,58.47,1.012,9,1,171,0,1024,0,11.7,0
f0b77529-baf9-4060-9f4b-f3fe6d7facd9,acc_f1a383e2,2026-07-11T14:34:32,212.101.135.194,USA,179.48,0,2,164.49,1.0911,15,0,103,0,465,0,10.3,0
a26d3ed1-6a0c-4acd-9e49-abadca171da4,acc_ec9a1962,2026-07-22T05:42:49,105.19.215.79,USA,48.68,1,4,42.89,1.135,11,1,42,0,155,0,9.0,0
dcf430dc-2812-41d3-b112-728a7a2ddf28,acc_3f7abf3f,2026-07-12T07:24:51,25.63.6.103,USA,39.47,1,3,54.37,0.726,12,1,195,0,179,0,7.1,0
23d26b8d-ae46-424d-91d0-5ef3a91883fc,acc_8896471c,2026-07-08T00:47:46,146.235.47.183,USA,37.9,1,2,54.05,0.7012,18,0,28,0,287,0,16.6,0
99e94189-ac1c-4523-b1e9-4190d5210745,acc_c616f1e2,2026-07-07T06:58:07,44.15.32.214,USA,21.33,0,4,22.88,0.9323,23,0,304,0,512,0,0.1,0
d2abb67e-d95d-43bf-9472-8ce73ed10c38,acc_4ad6f9dc,2026-07-31T04:42:34,124.37.15.0,USA,42.31,0,3,61.58,0.6871,9,0,48,0,896,0,6.0,0
e27f6adb-ea42-48bb-abff-c118a390eb84,acc_13aef992,2026-07-27T08:47:12,108.148.234.60,USA,31.27,0,3,53.54,0.584,8,1,632,0,1003,0,2.2,0
0ff0a55c-6a70-4e2f-b746-d0ba8ae8905b,acc_7c462dda,2026-07-16T20:07:05,175.29.166.4,USA,150.19,0,2,104.08,1.443,2,0,204,0,205,0,3.8,0
4401964b-8597-4aa4-84e5-7d4281df3569,acc_2d26b650,2026-07-24T12:23:26,25.37.185.58,USA,164.34,1,2,123.43,1.3314,9,0,35,0,545,0,1.0,0
0314f10f-aa2b-4aa7-990d-a48dce0f3a53,acc_8a494068,2026-07-10T02:50:46,52.187.118.246,USA,21.59,2,5,22.53,0.9583,6,0,230,0,985,0,3.4,0
91128058-e606-489f-9c34-f8140bfc530e,acc_8cd77dd6,2026-07-23T21:10:25,196.34.158.67,USA,73.86,0,5,65.39,1.1295,16,1,91,0,889,1,8.5,0
c7fee39f-1190-4938-a66f-d7f739669fa7,acc_8d82f01b,2026-07-08T18:02:33,183.233.190.172,USA,59.45,0,3,125.85,0.4724,17,0,121,0,1140,0,20.9,0
7d858820-f548-4ad8-8da7-aad8a7e9a377,acc_47534732,2026-07-20T07:00:05,209.114.238.172,USA,39.44,0,0,66.71,0.5912,16,0,120,0,267,0,4.9,0
ad492005-83c8-4e32-8afb-94c9ff2258e4,acc_c1868401,2026-08-01T13:54:07,137.37.187.167,USA,181.73,0,1,176.42,1.0301,11,0,91,0,951,0,8.1,0
79eabc73-3727-4969-859b-082cf8d91bd6,acc_78126778,2026-07-27T03:36:51,173.164.21.42,USA,81.42,0,3,57.36,1.4195,10,0,53,0,361,0,3.7,0
9d7652ce-41d5-4626-9a8d-39c598b8dd90,acc_bc7e96d7,2026-07-23T03:33:31,217.63.188.160,USA,44.71,0,4,55.92,0.7995,20,0,43,0,761,0,6.9,0
15d65d17-7a22-4b5e-94ba-c44fb35896b4,acc_ffe9bfbe,2026-07-11T14:25:40,37.138.235.57,USA,31.2,2,5,44.13,0.707,12,0,27,0,912,0,19.6,0
36230dd0-2cf0-4761-881f-b68dc44943ad,acc_cc80153c,2026-07-27T01:05:13,55.188.169.61,USA,255.22,0,1,196.17,1.301,6,0,100,0,394,0,15.6,0
67a09bda-a69f-4357-9cf1-56749a1e36cc,acc_5d4b5641,2026-07-27T02:01:00,106.34.33.140,USA,178.37,1,2,196.3,0.9087,11,1,26,0,889,0,2.5,0
3d9da6ab-76a9-4497-b392-f3e162538729,acc_40b2fea5,2026-07-09T18:07:36,85.73.40.240,USA,152.62,0,4,166.11,0.9188,14,1,104,0,190,0,17.9,0
